"","V1"
"AbrahamLincoln-1",7
"AbrahamLincoln-2",5
"AndrewJackson-1",4
"AndrewJackson-2",7
"BarackObama-1",8
"BarackObama-2",8
"BenjaminHarrison-1",2
"CalvinCoolidge-1",9
"DonaldJTrump-1",8
"DwightDEisenhower-1",5
"DwightDEisenhower-2",5
"FranklinDRoosevelt-1",9
"FranklinDRoosevelt-2",5
"FranklinDRoosevelt-3",5
"FranklinDRoosevelt-4",5
"FranklinPierce-1",4
"GeorgeBush-1",8
"GeorgeWashington-1",4
"GeorgeWashington-2",1
"GeorgeWBush-1",8
"GeorgeWBush-2",5
"GroverCleveland-I-1",4
"GroverCleveland-II-2",4
"HarrySTruman-1",9
"HerbertHoover-1",9
"JamesBuchanan-1",7
"JamesGarfield-1",2
"JamesKPolk-1",7
"JamesMadison-1",4
"JamesMadison-2",3
"JamesMonroe-1",3
"JamesMonroe-2",3
"JimmyCarter-1",5
"JohnAdams-1",4
"JohnFKennedy-1",5
"JohnQuincyAdams-1",4
"LyndonBJohnson-1",5
"MartinvanBuren-1",4
"RichardNixon-1",5
"RichardNixon-2",5
"RonaldReagan-1",8
"RonaldReagan-2",5
"RutherfordBHayes-1",4
"TheodoreRoosevelt-1",10
"ThomasJefferson-1",4
"ThomasJefferson-2",4
"UlyssesSGrant-1",2
"UlyssesSGrant-2",3
"WarrenGHarding-1",9
"WilliamHenryHarrison-1",1
"WilliamHowardTaft-1",2
"WilliamJClinton-1",8
"WilliamJClinton-2",5
"WilliamMcKinley-1",2
"WilliamMcKinley-2",3
"WoodrowWilson-1",10
"WoodrowWilson-2",10
"ZacharyTaylor-1",4
